Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Egypt, Arab Rep.","Goods exports (BoP, current US$)",2769714286,3118818182,3924000000,4164000000,3670000000,3545000000,4044000000,4670000000,4779000000,5525300000,4403000000,5236500000,7061000000,7024900000,7117700000,8987300000,12319600000,16073200000,20545600000,24454600000,29849000000,23089300000,25024200000,27913400000,26834500000,26533700000,25268700000,19030900000,20018300000,23339400000,28045807000,28472107000,25049007000,36442200000,44721800000
El Salvador,"Goods exports (BoP, current US$)",610640000,557500000,643879289.4,586777546.8,598146117.8,741740168.8,820850637.3,1104792728,1022958310,1372962170,1259280411,1179000000,1334900000,1216800000,1240600000,1257800000,1384481000,1864100000,2254700000,2793700000,3275500000,2923576030,3473156739,4242593851,4242229301,4394930263,4294427682,4436976012,4322313880,4667395107,4735593478,4747910177,3919625501,5150653193,5723239901
Eritrea,"Goods exports (BoP, current US$)",,,,,16385553.27,41863090.35,77931289.92,85919591.89,97918681.96,56381306.12,28092401.18,20678663.24,36808601.8,,,,,,,,,,,,,,,,,,,,,,
Estonia,"Goods exports (BoP, current US$)",,,,,460704442.2,802659772.7,995147150.2,1296073530,1381151001,1703041667,1866911682,1660900217,1899671626,2083603333,2410337385,3304958150,4384188267,5730412672,6977192638,9388339876,10546418657,7395356976,9910386285,14456267679,13807600113,14563648094,14643222704,11862878802,12435597762,13525047599,14870729658,14911482886,15210699546,19325714949,21123861363
Eswatini,"Goods exports (BoP, current US$)",466600028.4,494113363.2,550337624,593775067.3,638461064.2,684582285,784305313.5,859594964,838300138.1,945000265.8,966107537,934986791.7,965541030.4,1027115259,1067425568,1636186095,1791769314,1601331818,1560592934,1625837499,1489153250,1564933548,1805286067,1595552639,1674595411,1824480813,1849774619,1668738477,1635738096,1793024646,1828272883,1980989306,1739331218,2059859738,2029827673
Ethiopia(excludes Eritrea),"Goods exports (BoP, current US$)",400000000,443816425.1,291980676.3,167632850.2,169883574.9,198840000,371965735.3,423017569,417479306.7,588275137.5,560345145.5,467354434,486065462.1,508324153,550935675.3,496388183,678301895.4,917349757.4,1055546060,1350794630,1718581217,1694678621,2479500108,3029375494,3257974059,3014456726,3418298315,2920026146,2810825746,3030123288,2705000196,2745929327,3252826739,3929967919,3969724083
Faeroe Islands,"Goods exports (BoP, current US$)",,,,,,,,,,,442170000,472100000,476780000,516160000,537350000,593740000,618710382.7,603271415.6,650545533.6,745177953.9,852401883.2,765685711.2,835113982.8,1005991138,,,,,,,,,,,
Fiji,"Goods exports (BoP, current US$)",372869703,377123595.5,415555768.1,362574823.4,349769265.6,370936096.4,490190386.7,519649206,672201239.9,535646873.4,428927346.1,537716570.4,530125262.7,496959366.8,464124766.1,651015610.4,634301946.2,680569041.2,659151820.7,722647098.9,901997972.2,615098781.7,819747577.5,1071737361,1205131844,1143327159,1208532271,970193385.8,921839857.5,987051789.2,1003626840,1026264878,819285988.1,887455616.5,1047525536
Finland,"Goods exports (BoP, current US$)",21851474035,22921232969,26139225393,22760613233,23815417043,23366648234,29544029074,39785143630,39959402070,40426237605,42040115763,41228677570,45051988704,42362126737,48006719029,55564828656,65704638525,70041740217,81902890483,98615710258,1.05434E+11,71766068829,75038955325,83030370296,76760162737,77796801806,74459455559,58806695990,58351635009,67198318454,74302405231,72690213780,67416386738,82912145159,93022735639
Fm Sudan,"Goods exports (BoP, current US$)",427000000,544366666.7,326500000,302500000,213400000,306300000,523900000,555700000,620300000,594200000,595700000,780100000,1806700000,1698700000,1949110000,2542170000,3777750000,4824279734,5656560000,8879240000,11670500000,8257110000,11404280000,10193432479,4066499000,4789732000,4453723000,3169011000,3093639000,4100380502,3484681534,3734656598,3802573401,5027385190,4357418278
